index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm2,0.0,7.938000000001921,7.933941,0.0
1,task-5-1,vm3,0.004217,5.578000000001339,5.577369,0.0
2,task-8-2,vm4,0.010351,5.063000000001921,5.064655,0.0
3,task-2-3,vm4,0.010351,11.39100000000326,11.391953,0.0
4,task-10-4,vm4,0.010351,11.094000000004598,11.097529,0.0
5,task-3-5,vm3,0.010351,2.9060000000026776,2.915967,0.0
6,task-4-6,vm3,0.010351,2.0,2.006625,0.0
7,task-4-7,vm2,0.010351,11.484000000004016,11.487147,0.0
9,task-3-9,vm4,0.010351,1.1880000000019209,1.188174,0.0
10,task-9-10,vm4,0.010351,24.109000000004016,24.111402,0.0
11,task-1-11,vm1,0.010351,0.6560000000026776,0.660557,0.0
13,task-9-13,vm3,0.010351,14.125,14.120094,0.0
17,task-5-17,vm4,0.010351,12.953000000001339,12.949517,0.0
18,task-6-18,vm4,0.010351,26.25,26.257388,0.0
19,task-10-19,vm4,0.010351,19.109000000004016,19.10698,0.0
12,task-7-12,vm1,0.660557,20.95300000000134,21.614268,0.6560000000026776
14,task-1-14,vm3,2.010088,12.25,14.245755,2.0
15,task-8-15,vm3,2.918153,18.312000000005355,21.243166,2.9219999999986612
16,task-2-16,vm3,5.580321,16.031000000002678,21.608114,5.578000000001339
8,task-7-8,vm2,7.935916,14.93699999999808,22.881739,7.938000000001921
