index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,6.796999999998661,6.794611,0.0
1,task-5-1,vm1,0.011328,10.827999999994063,10.850505,0.0
2,task-8-2,vm4,0.011328,4.25,4.260967,0.0
3,task-2-3,vm4,0.011328,4.639999999999418,4.655172,0.0
4,task-10-4,vm2,0.011328,21.702999999994063,21.714563,0.0
6,task-4-6,vm4,0.011328,7.7189999999973224,7.733398,0.0
8,task-7-8,vm4,0.011328,10.702999999994063,10.716629,0.0
9,task-3-9,vm4,0.011328,11.296999999998661,11.306828,0.0
10,task-9-10,vm3,0.011328,8.827999999994063,8.846263,0.0
11,task-1-11,vm4,0.011328,11.389999999999418,11.402435,0.0
12,task-7-12,vm4,0.01744,14.375,14.388884,0.0
15,task-8-15,vm3,0.01744,15.60899999999674,15.626833,0.0
17,task-5-17,vm3,0.01818,18.452999999994063,18.468877,0.0
18,task-6-18,vm3,0.018781,22.54699999999866,22.567563,0.0
13,task-9-13,vm4,4.266006,15.125,19.389943,4.25
16,task-2-16,vm4,4.656323,14.921999999998661,19.577252,4.639999999999418
19,task-10-19,vm4,6.797266,18.859000000004016,25.663305,6.780999999995402
5,task-3-5,vm1,10.850505,3.922000000005937,14.77131,10.827999999994063
7,task-4-7,vm1,14.774398,7.0789999999979045,21.853728,14.75
14,task-1-14,vm1,21.855743,0.6089999999967404,22.462505,21.843999999997322
